iter	Passed	Remaining
909	5636	557
910	5638	550
911	5640	544
912	5642	537
913	5644	531
914	5645	524
915	5648	517
916	5652	511
917	5656	505
918	5658	498
919	5659	492
920	5661	485
921	5662	479
922	5664	472
923	5666	466
924	5668	459
925	5670	453
926	5671	446
927	5673	440
928	5674	433
929	5676	427
930	5678	420
931	5680	414
932	5682	408
933	5684	401
934	5687	395
935	5690	389
936	5691	382
937	5693	376
938	5694	369
939	5696	363
940	5697	357
941	5699	350
942	5701	344
943	5703	338
944	5704	332
945	5706	325
946	5707	319
947	5709	313
948	5710	306
949	5712	300
950	5714	294
951	5719	288
952	5720	282
953	5722	275
954	5723	269
955	5725	263
956	5727	257
957	5728	251
958	5730	244
959	5731	238
960	5733	232
961	5735	226
962	5737	220
963	5738	214
964	5740	208
965	5742	202
966	5743	196
967	5751	190
968	5757	184
969	5759	178
970	5762	172
971	5764	166
972	5765	159
973	5766	153
974	5768	147
975	5770	141
976	5772	135
977	5773	129
978	5775	123
979	5776	117
980	5784	112
981	5786	106
982	5789	100
983	5791	94
984	5792	88
985	5794	82
986	5795	76
987	5797	70
988	5798	64
989	5800	58
990	5802	52
991	5803	46
992	5805	40
993	5806	35
994	5808	29
995	5810	23
996	5815	17
997	5817	11
998	5818	5
999	5820	0
